ZINC000001851149	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
ZINC000006096034	Oc1ccc(C2=CCC[C@@H](CN3CC=C(c4ccccc4)CC3)C2)cc1
ZINC000012356427	O=C1NCN(c2ccccc2)C12CCN(C[C@@H]1COc3ccc4[nH]ccc4c3O1)CC2
ZINC000012356430	O=C1NCN(c2ccccc2)C12CCN(C[C@H]1COc3ccc4[nH]ccc4c3O1)CC2
ZINC000013775956	Oc1ccc2c(c1)O[C@@H](CNCCCCc1ccccc1)CC2
ZINC000013775957	Oc1ccc2c(c1)O[C@H](CNCc1ccccc1)CC2
ZINC000013862887	COc1c(C(=O)NC2C[C@H]3CCC[C@@H](C2)N3Cc2ccccc2)cc(Br)c2ccccc21
ZINC000001547101	S=c1[nH]c2cc(Cl)cc(OCCNCc3ccccc3)c2[nH]1
ZINC000001903144	O=C1Cc2c(cccc2OCCNCc2ccccc2)N1
ZINC000027424817	O=C(CCCN1CCC2(CC1)C(=O)N(Cc1ccc(I)cc1)CN2c1ccccc1)c1ccc(F)cc1
ZINC000027518486	CCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000027725864	COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1
ZINC000053113560	O=C1NCN(c2ccccc2)C12CCN(C[C@@H]1COc3ccccc3O1)CC2
ZINC000053113561	O=C1NCN(c2ccccc2)C12CCN(C[C@H]1COc3ccccc3O1)CC2
ZINC000053151246	COc1ccccc1N1CCN(Cc2cnn(-c3ccccc3)c2)CC1
ZINC000026150427	O=C1Cc2c(cccc2OCCNCCCCc2ccccc2)N1
ZINC000072315820	c1[nH]c2cccc3c2c1C[C@@H]1CN(Cc2cccc(-c4ccccc4)c2)CCN31
ZINC000169351337	c1[nH]c2cccc3c2c1C[C@H]1CN(Cc2cccc(-c4ccccc4)c2)CCN31
ZINC000000366660	C=CCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000013821891	CCN1CCC[C@H]1CNC(=O)c1c(O)c(CCF)cc(OC)c1OC
ZINC000026165738	O=C1Cc2c(c(Cl)ccc2OCCNCc2ccsc2)N1
ZINC000002008275	O=c1[nH]c2cc(Cl)cc(OCCNCc3ccccc3)c2[nH]1
ZINC000002559957	O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1I
ZINC000006385020	CCN1CCC[C@H]1CNC(=O)c1c(O)c(CCCF)cc(OC)c1OC
ZINC000013761777	COc1ccc(CCCCNCCOc2cc(F)cc3c2OCCC3)cc1
ZINC000072112249	O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2N1
ZINC000022061339	CCN1CCC[C@H]1CNC(=O)c1c(O)c(I)ccc1OC
ZINC000012356281	COc1cc(N)c(Cl)cc1C(=O)NC1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1
